item,approved_limit,actual,status
router_v2,0,0,WITHIN
nvidia_decompose,18,18,WITHIN
nvidia_final_gen,18,15,WITHIN
nvidia_total,36,36,WITHIN
titan_embed,54,34,WITHIN
qdrant_logical_branches,54,34,WITHIN
qdrant_physical,108,68,WITHIN
groq,0,0,WITHIN
nvidia_120b,0,0,WITHIN
qdrant_dense_probe,,34,component of physical
qdrant_hybrid_rrf,,34,component of physical
bm25_encode,,34,"local, no external cost"
v2_simple_cases_reused,,34,no new calls
